STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
LWS,-117.015794194891,46.3756140389608,1,1,2019,695.97,58034000,11231295,21.09
LYH,-79.2019359977163,37.3224452024385,1,1,2019,2383.17,58034000,11231295,21.09
MAF,-102.208024128943,31.9413798962279,1,1,2019,12949.26,58034000,11231295,21.09
MBS,-84.0832536008569,43.5326675320381,1,1,2019,2952.6,58034000,11231295,21.09
MCI,-94.7092641253793,39.3031439432716,1,1,2019,78307.17,58034000,11231295,21.09
MCN,-83.6481243668856,32.6934351704687,1,1,2019,1223.22,58034000,11231295,21.09
MCO,-81.3079778036833,28.4290591643248,1,1,2019,408026.744870672,58034000,11231295,21.09
MDT,-76.758174814042,40.1954233909379,1,1,2019,13877.22,58034000,11231295,21.09
MDW,-87.7506323265738,41.7869553494847,1,1,2019,178358.13,58034000,11231295,21.09
MEI,-88.7495694440575,32.3354466496425,1,1,2019,2130.09,58034000,11231295,21.09
MEM,-89.97313112659,35.0508053984836,1,1,2019,52113.39,58034000,11231295,21.09
MFE,-98.237496680833,26.17965804609,1,1,2019,36274.8,58034000,11231295,21.09
MFR,-122.870113378281,42.3739853461216,1,1,2019,27627.9,58034000,11231295,21.09
MGM,-86.3961007154691,32.2988210411049,1,1,2019,5588.85,58034000,11231295,21.09
MHK,-96.6719616303886,39.1387702975373,1,1,2019,1518.48,58034000,11231295,21.09
MHT,-71.4344672547834,42.9302617713164,1,1,2019,16260.39,58034000,11231295,21.09
MIA,-80.2878156121664,25.7958442705346,1,1,2019,283196.52,58034000,11231295,21.09
MKE,-87.9075562785002,42.9363757470074,1,1,2019,84212.37,58034000,11231295,21.09
MKG,-86.2345451688922,43.1679203594784,1,1,2019,2572.98,58034000,11231295,21.09
MKK,-157.095371084583,21.1538311094747,1,1,2019,780.33,58034000,11231295,21.09
MLB,-80.6437283608969,28.1015265675425,1,1,2019,20731.47,58034000,11231295,21.09
MLI,-90.5134491383094,41.4473215309941,1,1,2019,9406.14,58034000,11231295,21.09
MLU,-92.0365377087581,32.5130478206652,1,1,2019,2298.81,58034000,11231295,21.09
MMH,-118.843741257755,37.6260125760422,1,1,2019,506.16,58034000,11231295,21.09
MOB,-88.2446495872285,30.6916702695709,1,1,2019,8182.92,58034000,11231295,21.09
MOT,-101.273311892848,48.2550958007001,1,1,2019,3290.04,58034000,11231295,21.09
MRI,-149.841408767926,61.2130471995067,1,1,2019,11409.69,58034000,11231295,21.09
MRY,-121.847633011855,36.5869565170168,1,1,2019,10291.92,58034000,11231295,21.09
MSN,-89.3352094438654,43.1368277812401,1,1,2019,18517.02,58034000,11231295,21.09
MSO,-114.089964188958,46.917180514886,1,1,2019,4302.36,58034000,11231295,21.09
MSP,-93.2216407946283,44.8815298694459,1,1,2019,250675.74,58034000,11231295,21.09
MSY,-90.2620645123466,29.9924443774178,1,1,2019,102898.11,58034000,11231295,21.09
MTJ,-107.896085331287,38.5054959743668,1,1,2019,7001.88,58034000,11231295,21.09
MVY,-70.6120547694659,41.3920864676419,1,1,2019,548.34,58034000,11231295,21.09
MWA,-89.009603918674,37.7529765221753,1,1,2019,2488.62,58034000,11231295,21.09
